Image|Logo|Occupation|Name|Race|Focus|Origin|God|Age|Status|Title|Position|Description
Anfira LaGleir|NonFakulty/Umenie|Anfira La'Gleir|Elf (High)|---|---|---|---|---|---|Živá|---|Anfira pozná mnoho príbehov, no jej príbeh nezná takmer nik. Čo o nej je známe je, že cestuje a za jedlo a nocľah, rozpráva príbehy. Pozná legendy, rozprávky ale príbehy bežných smrteľníkov a roľníkov. A však je aj výborný poslucháč. Anfira, vlastní jedinečné karty, ktoré dokážu predpovedať budúcnosťou. Práve tieto karty sú dôvodom, prečo je vyhľadávaná ale aj dôvodom prečo sa jej stránia.
Julianna-Cerri|NonFakulty/Banka|Banka|Julianna Cerri|empty|empty|empty|empty|empty|empty|empty|empty|empty
Grong-Krz|Fakulty/------|empty|Grong Krz - |empty|empty|empty|empty|empty|empty|empty|empty|empty
Kiera-Lulaba|NonFakulty/Remeslo|Remeslo|Kiera Lulaba|empty|empty|empty|empty|empty|empty|empty|empty|empty
Dribly-Kolarik|NonFakulty/Remeslo|Remeslo|Dribly Kolarik|empty|empty|empty|empty|empty|empty|empty|empty|empty
Majster-Kalagar-Červený|NonFakulty/Mudrc|Mudrc|Majster Kalagar Červený|empty|empty|empty|empty|empty|empty|empty|empty|empty
Malibuk|NonFakulty/Liecenie|Liecenie|Malibuk|empty|empty|empty|empty|empty|empty|empty|empty|empty
Danril-Kvask|NonFakulty/Remeslo|Remeslo|Danril Kvask|empty|empty|empty|empty|empty|empty|empty|empty|empty
Emily-Blankit|NonFakulty/Wanted|Wanted|Emily Blankit|empty|empty|empty|empty|Živá|empty|empty|empty|empty
Zekkil|NonFakulty/Bohovia|Bohovia|Zekkil|Human/Deity|---|Dolinoraj|On|800 >|Živý|boh odvahy, dobrodružstva a stratégie|---|Jeden z mála bohov, ktorý trávi väčšinu svojho času so smrteľníkmi v Axrií. On sám bol smrteľník a preto prikladá životu inú hodnotu. Prestrojený za dobrodruha chodí svetom a pomáha. Keď niekto odhalí jeho skutočnú podobu, dostane od Zekkila božský dar a sám Zekkil sa vytratí a čoskoro začne putovanie na inom mieste v inej podobe.
#empty|empty|empty|empty|empty|empty|empty|empty|empty|empty|empty|empty|empty
Darina-Kold|Fakulty/Fakulta_1|Absorber|Darina Kold|Human|Fighter|Severana|Decon|27|Živý|Bojon|Lovec študent - Skupina 742~3|empty
Darius-Kulukala|Fakulty/Fakulta_2|Popravca|Darius Kulukala – Halfforged|Human|Monk|Sostrov|Zekkil |32|Živý|Bojon|Lovec študent - Skupina 742~3|empty
Ľubomíra-Vrba|Fakulty/Fakulta_3|Krotiteľ|Ľubomíra Vrba|Human|Sorcerer|Juhiera||30|Živý|Bojon|Lovec študent - Skupina 742~3|empty
Marcel-Granulia|Fakulty/Fakulta_4|Ochranca|Marcel Granulia|Human|Artificier|Pieskostan|Chirnird  |28|Živý|Bojon|Lovec študent - Skupina 742~3|empty
Leonard-Arjek|Fakulty/Fakulta_5|Znalec|Leonard Arjek|Human|Wizard|Juhiera|Zylhana  |27|Živý|Bojon|Lovec študent - Skupina 742~3|empty
#Dorian-Kold|empty|empty|Dorian Kold|Human|Rogue|Severana|Kybad|29|Živý|---|empty|empty
#Helena-Kold|empty|empty|Helena Kold|Human|Fighter|Severana|Rarex|31|Živý|---|empty|empty
Gregor-Grats|Fakulty/Fakulta_4|Ochranca|Gregori Grats|Human|Paladin|Jazierchat|Saci|32|Mŕtvy|Hed|Lovec|Ako prvorodený syn Boralda Grats bol na Gregoriho už od mala vyvíjaný tlak. Mal byť ten najlepší lovec. Skôr ako vedel chodiť, otec ho už naučil držať kopiju. Keď mal Gregori štyri roky situácia sa ešte zhoršila, jeho otec bol vážne zranený a nemohol loviť. Všetok svoj čas teda venoval tréningu svojho syna. Každý deň bol to isté, vstať, bojovať s otcom, behať, skákať, loziť, jesť a spať.  Gregoriho to nikdy nebavilo ale nič iné nepoznal a keďže jeho otec aj zranený bol stále silný ako Titan a výbušný ako sopka, Gregori mu nikdy neoponoval. Veci sa zmenili až keď mal Gregori 7 rokov, vtedy sa mu narodil brat Bolivar. Otec venoval viac pozornosti aj mladšiemu synovi a príprave na jeho tréning. Gregori tým získal voľný čas počas dňa, otec ho síce poslal trénovať ale už ho stále nekontroloval. Gregori to využil a začal objavovať svet, v tomto období spoznal aj skutočnú detskú radosť a rozhodol sa, že ju bude šíriť ďalej. Svoje srdce vložil do rúk Saciho, ten ho na oplátku prijal ako svojho Paladina. Gregori od vtedy so sebou všade nosil dobrú náladu a nenechal si pokaziť ani otcovým tréningom. Pomáhal bratom a vždy im počas ťažkých dní plných tréningu priniesol nejaké to rozveselenie. Keď prišiel čas Gregori išiel do akadémie, rástol ako lovec ale nikdy ho to plne nebavilo.  Čo ho bavilo bolo pomáhať iným a prinášať im úsmev. Gregori zahynul vo veku 32 rokov na love. 
Borald-Grats|Fakulty/Fakulta_2|Popravca|Borald Grats|Human|Barbarian|Jazierchat|Kybad|58|Mŕtvy|Jäger|Lovec|Borald Grats pochádzal z rodiny obuvníkov, nikdy ho však toto remeslo nebavilo. Už od mala vzhliadal na vysoké múry akadémie ako na nedobytný palác kam sa chcel dostať. Lovci boli pre neho ty najsilnejší a najschopnejší, boli to hrdinovia hrdinov. Chcel byť ako oni ale nemal na to, jeho otec bol proti a matka ich opustila. Borald bol frustrovaný a nespokojný. V meste sa dostával do konfliktov a neraz došiel domov zbití. Nebil sa však len tak na ulici ale zarábal si ako zápasník. Tu objavil ako efektívne sa dajú využiť potlačené emócie v boji. Keď to otec zistil vyhodil ho z domu. Boraldovi to však bolo jedno, nikdy sa za otcom nevrátil, mal čosi nasporené a šťastie skúsil na akadémií. Prijali ho a ako lovec precestoval celý svet, nikdy však nebol najlepší lovec a to ho frustrovalo stále viac riskoval a tlačil svoje hranice, keď to raz prehnal a utrpel vážne zranenie, svoju posadlosť prenášal aj na synov. Bolivar bol jeho úspech, syn v ktorom videl seba a cez neho si splnil sen. To ho ale nenaplnilo tak aby čakal, snažil sa preto ešte vrátiť ako lovec späť ale zranené telo nestačilo a pri obrane Juhiery získal ďalšie vážne zranenie z ktorého sa už nespamätal a vo veku 58 rokov zomrel.
Belo-DeRueox|NonFakulty/Mesto|Mesto|Belo DeRueox|Human|Fighter|Jazierchat|Zekkil|33|Živý|---|Osobný strážca Lanc Rueoxa|Ten kto sa nenarodí v priamej pokrvnej línií k prvorodenému synovi kráľa sa stáva automaticky verným služobníkom trónu. To je prípad aj Bela DeRuexa, ktorý sa od svojich 10 rokov stará o bezpečie bratranca. Ako osobný strážca Markíza, bol Belovi predelený výnimočný prístup na Akadémiu a ako jediný neštudent sa zúčastňuje všetkých prednášok, cvičení aj výprav. 
