Image|Name|Owner|Rarity|Type|Origin|Speed|Movement|Combat|Trait|Weakness
Giant Lizard|Giant Lizard|Desert, cavern and rocky-region riders|Common|Giant Riding Lizard|Commonly bred around Severana’s desert mines and the rocky cave country of the eastern desert.|30|Climb, rock crawl|Limited|Excellent on stone, tolerates heat, can traverse terrain unsuitable for hooves|Cold-sensitive; comparatively slow over good roads
Marsh Lizard|Marsh Lizard|Swamp communities|Common|Marsh Riding Lizard|Sostrov wetland breed adapted to shallow channels, mud, and island crossings.|25|Swim, mud crawl|Limited|Excellent swamp mobility, strong swimmer, comfortable in deep mud|Slow on roads and vulnerable to cold
Water Buffalo|Water Buffalo|Wetland farmers and travelers|Common|Domestic Water Buffalo|Raised on Sostrov’s southern agricultural islands and other low wet farmlands.|24|Mud travel, shallow swim|Limited|Very strong, stable in mud and water, good pack capacity|Slow and stubborn; poor mountain mobility
Great Runner Bird|Great Runner Bird|Plains and dryland riders|Common|Giant Runner Bird|Open-ground riding bird from the savanna and semi-desert approaches around Pieskostan.|42|Fast run|No|Very fast sustained travel on open ground, low burden on soft terrain|Poor carrying capacity, easily injured in rough rocky terrain
Giant Tortoise|Giant Tortoise|Caravans, isolated settlements|Common|Giant Riding Tortoise|Warm-island beast most often associated with the outer Sostrov islands and southern coastal trade.|12|Difficult-terrain crawl|Defensive|Enormous carrying capacity, very low food urgency, naturally armored|Extremely slow; useless for pursuits
Moose|Moose|Northern forest hunters|Common|Riding Moose|Cold-forest mount from the wooded approaches south of Chladohrad and other northern wetlands.|30|Forest travel, shallow swim, snow stride|Limited|Very large, strong swimmer, crosses snow and wetlands surprisingly well|Temperamental, awkward in settlements, unsuitable for disciplined cavalry
Pegasus|Pegasus|Anyone / Wealthy travelers|Uncommon|Axrian Pegasus|A stable winged-horse bloodline developed in Axria by magically reinforcing rare air-aspected mutations in ordinary horse stock. Jazierchat and Lesohaj breeders made the line reliable enough to breed true, turning what began as magical anomalies into an established travel mount.|65|Flight, gallop, glide|Limited|Faster and stronger than a normal horse, excellent carrying capacity, can take off with rider and equipment|Expensive feed and care; wings require open space; vulnerable if injured in flight
War Pegasus|War Pegasus|Hunters, knights, military|Uncommon|Warbred Axrian Pegasus|A heavier military branch of the Axrian Pegasus line, developed in fortified hunter and cavalry stables around Jazierchat. Breeders selected for stronger wings, calmer reactions to weapons, and the frame needed to launch with an armored rider.|60|Flight, dive, gallop|Yes|Battle-trained, fearless in the air, stronger frame, can carry armored rider|Very expensive; conspicuous; large wings make forests and interiors difficult
Hippogriff|Hippogriff|Hunters, scouts, travelers|Uncommon|Stable-Bred Hippogriff|An old Axrian hybrid line created by combining horse and griffon traits through selective breeding and magical stabilization. Juhieran cliff-stables helped turn the early unstable hybrids into a bloodline that now breeds reliably without repeating the original binding rituals.|62|Flight, gallop, cliff launch|Yes|Good balance between aerial speed and terrestrial mobility, easier to train than a griffon|Predator instincts; requires meat; dislikes enclosed spaces
Griffon|Griffon|Hunters, military, wealthy riders|Uncommon|Highland Griffon|A natural Axrian cliff predator found around Juhiera’s mountain coast and several highland ranges. Licensed handlers raise eggs and young taken from managed colonies, producing riding griffons without changing the species itself.|60|Flight, climb, dive, leap|Yes|Powerful talons, excellent eyesight, strong aerial combatant, can carry significant weight|Aggressive temperament, expensive diet, difficult training
Giant Eagle|Giant Eagle|Scouts, messengers, light hunters|Uncommon|Stromoraj Great Eagle|A giant eagle species associated with the enormous upper canopy and mountain-edge forests around Stromoraj. The best riding lines come from birds raised near canopy settlements, where they become accustomed to carrying light riders between distant crowns.|75|Flight, glide, thermal soaring|Limited|Excellent long-range vision, fast aerial travel, efficient soaring|Low carrying capacity; unsuitable for heavily armored riders
Giant Bat|Giant Bat|Night hunters, cavern travelers|Uncommon|Deep-Tunnel Giant Bat|Native to the vast cave and tunnel systems around Vyskyna and Zaskyna. Mining communities learned to raise calmer colonies for night travel and vertical shafts, although their instincts still remain closer to wild cave animals than conventional livestock.|58|Flight, cave-cling, vertical descent|Limited|Echolocation, excellent night navigation, quiet flight|Poor daylight vision, fragile wings, dislikes open daylight travel
Giant Spider|Giant Spider|Underdark travelers, scouts, urban hunters|Uncommon|Stromoraj Cling-Spider|A large canopy spider domesticated in Stromoraj, where vertical settlements made wall, branch, and underside travel genuinely useful. Riding strains are selected for predictable webbing and tolerance of harnesses rather than for increased aggression.|34|Wall-climb, ceiling crawl, web descent|Yes|Ignores many vertical obstacles, produces utility webbing, excellent ambush mobility|Slow on open roads; fire vulnerable; many civilians are terrified of it
War Scorpion|War Scorpion|Desert hunters and soldiers|Uncommon|Sandplate War Scorpion|Descended from giant scorpions of the stone-and-sand country north of Pieskostan. Desert handlers selectively bred the most controllable specimens in fortified pits until a dependable armored war line emerged for hunters and border soldiers.|32|Sand travel, rock scramble|Yes|Natural armor, powerful claws, venomous sting, tolerant of extreme heat|Slow compared with horses; difficult temperament; dangerous if poorly trained
Unicorn|Unicorn|Nobles, healers, holy orders|Uncommon|Lesy-Descended Unicorn|The bloodline originates in Lesy Života. A small number crossed into Axria around strongly enchanted forests and were later protected in sanctuaries; carefully managed descendants now form the limited Axrian riding population.|55|Forest stride, high leap, rapid sprint|Yes / Support|Minor restorative magic, resistance to hostile magic, exceptionally intelligent animal instincts|Refuses cruel riders; expensive; uncomfortable in corrupted or heavily polluted regions
Wyvern|Wyvern|Experienced hunters, military elites|Uncommon|Axrian Mountain Wyvern|A smaller riding strain descended from wild wyverns nesting on remote Axrian cliffs. Eggs from manageable bloodlines are raised in licensed monster compounds, with Ogramište handlers especially known for turning dangerous juveniles into usable hunter mounts.|70|Flight, glide, cliff-climb|Yes|Very fast flyer, powerful bite and claws, venomous tail, intimidating|Extremely difficult to train; dangerous around strangers; high food requirements
Nightmare Horse|Nightmare Horse|Warlocks, occult hunters, wealthy specialists|Uncommon|Hades-Touched Nightmare Courser|Not a true Hades-native horse. The line began when Axrian horses were repeatedly exposed to Hades-linked occult magic near old ritual sites; breeders preserved the survivors whose fire, darkness, and fearlessness became hereditary.|65|Gallop, flame-step, short shadow crossing|Yes|Fire resistance, fearless, can briefly move through supernatural darkness, flaming combat state|Temperamental; uncomfortable around strong radiant magic; difficult stable requirements
Drake Courser|Drake Courser|Hunters, soldiers, monster handlers|Uncommon|Lesser Drake Courser|A domesticated ground-running lesser-drake line developed from eggs collected in warm rocky country around Pieskostan and Severana. Hunter handlers selected for endurance and saddle tolerance while deliberately breeding out the size and aggression of larger drakes.|52|Sprint, climb, long leap, short glide|Yes|Thick scales, strong jaws, excellent endurance, minor elemental resistance depending on breed|Cannot truly fly; aggressive around unfamiliar animals; costly diet
Winged Drake|Winged Drake|Wealthy hunters and scouts|Uncommon|Winged Lesser Drake|A rarer aerial branch of the domesticated lesser-drake stock. Breeders preserved functional wings and natural armor while keeping the animals small enough to handle, creating a rugged alternative to Pegasus lines for difficult terrain.|66|Flight, glide, climb|Yes|More durable than Pegasus, excellent in harsh terrain, natural armor|Less agile than Pegasus or griffon; difficult training
Raptor Runner|Raptor Runner|Scouts, messengers, light cavalry|Uncommon|Savanna Raptor Runner|A fast predatory species from the warm savanna margins south of Pieskostan and near the outer approaches to Stromoraj. Generations of handling turned the lighter packs into pursuit mounts prized by scouts and couriers.|50|Sprint, leap, rapid turning|Yes|Exceptional acceleration, predatory senses, excellent pursuit mount|Low carrying capacity; easily excited by fleeing creatures
Hornback Strider|Hornback Strider|Heavy hunters, frontier cavalry|Uncommon|Hornback Ceratopsian Strider|A domesticated ceratopsian line from the warm southern plains. Caravan and frontier breeders favored compact animals with heavy skull protection and strong backs, gradually producing a practical riding strain rather than a full-sized wild beast.|35|Charge, rough-ground travel|Yes|Heavy skull protection, powerful charge, strong carrying capacity|Slow turning, poor climbing, consumes large amounts of vegetation
Longneck Caravaner|Longneck Caravaner|Merchants, expeditions|Uncommon|Caravan Longneck|A peaceful long-necked herd beast from the warm plains between Pieskostan’s savanna approaches and the wider southern lands. Merchant houses selectively bred smaller, calmer stock into living cargo platforms capable of carrying several travelers at once.|24|Long-distance walking, shallow-water crossing|No / Defensive|Carries enormous amounts of cargo or several passengers, excellent endurance|Huge, slow, difficult to use in cities, enormous feeding requirements
War Owlbear|War Owlbear|Hunters, frontier warriors|Uncommon|Warbred Owlbear|Derived from Axrian owlbear stock captured in the forests around Lesohaj and Juhiera. Controlled breeding compounds selected unusually stable individuals over generations, creating a line that remains dangerous but can accept disciplined riders and battlefield commands.|32|Forest charge, climb, short leap|Yes|Extremely powerful, strong senses, aggressive defense, frightening presence|Difficult to control, high food requirements, poor long-distance endurance
Ember Ram|Ember Ram|Mountain hunters, smithing regions|Uncommon|Emberhorn Ram|A mountain ram line first altered in smithing settlements around Skalodom through repeated exposure to controlled fire-aspected energy from Element. Later generations began inheriting the heat tolerance and ember-hot horns without requiring a fresh infusion.|38|Cliff-step, rock climb, heated charge|Yes|Heat resistant, horns become extremely hot during combat, excellent mountain footing|Performs poorly in deep water and extreme cold
Stonehoof|Stonehoof|Miners, mountain hunters, guards|Uncommon|Stonehoof Mountain Ram|A mining-region breed from Skalodom and Vyskyna whose ancestors were reinforced with earth-aspected magic to survive unstable tunnels and heavy loads. The stone-like hide gradually became a stable hereditary trait of the line.|34|Rock climb, rubble crossing|Yes|Stone-like hide, exceptional stability, very high carrying capacity|Heavy and slow; poor swimmer; difficult on soft marshland
Zephyr Courser|Zephyr Courser|Messengers, wealthy travelers|Uncommon|Zephyr Courser|A Pieskostan horse line shaped by generations of wind-working breeders near the city’s wind traditions. Air-aspected magical reinforcement eventually became hereditary, allowing short air-runs and unusually light movement without making the animal a true flyer.|72|Air-run, glide, long jump|Limited|Can run briefly over empty air, exceptionally light stride, fast over broken terrain|Cannot remain airborne indefinitely; strong winds can destabilize it
Tide Salamander|Tide Salamander|Coastal and river hunters|Uncommon|Tideback Salamander|An amphibious riding line developed around Juhiera and Sostrov from large wetland salamanders. Water-aspected magic was bred into selected stock until underwater breathing and strong aquatic carrying became reliable inherited traits.|42|Swim, dive, mud travel|Yes|Amphibious, can breathe underwater, excellent aquatic carrying ability|Slow and awkward in dry mountainous terrain
Frost Elk|Frost Elk|Northern hunters and couriers|Uncommon|Chladohrad Frost Elk|Descended from elk herds already adapted to Chladohrad’s permanently freezing wilderness. Breeders preserved individuals showing stronger magical cold adaptation until ice-footing and near-immunity to ordinary cold became characteristic of the riding line.|48|Snow stride, ice crossing, high leap|Limited|Cold immunity, does not sink deeply into snow, exceptional winter endurance|Suffers in prolonged extreme heat
Clockwork Strider|Clockwork Strider|Merchants, artificers, hunters|Uncommon|Granulian Clockwork Strider|A standardized Granulian mechanical pack-and-riding platform descended from industrial transport walkers. Civilian models trade armor and weapon mounts for reliability, cargo capacity, and components that ordinary artificer workshops can replace.|50|Mechanical sprint, rough-road travel|Limited|Requires no food or sleep, predictable performance, replaceable components, can carry heavy packs|Needs fuel, maintenance and spare components; noisy
Clockwork War Strider|Clockwork War Strider|Military, hunters|Uncommon|Granulian Clockwork War Strider|The reinforced military branch of Granulia’s Clockwork Strider platform. Its chassis is built around battlefield stability, armor, and modular defensive equipment rather than the lighter cargo role of civilian versions.|45|Mechanical sprint, reinforced charge|Yes|Armored chassis, cannot panic, carries weapons or shields, tremendous stability|Expensive repairs; vulnerable to sabotage and certain magical interference
Aethercycle|Aethercycle|Couriers, artificers, urban hunters|Uncommon|Granulian Aethercycle|A compact Granulian personal vehicle created for fast movement through the city’s dense network of workshops, towers, and transport links. Hunter-grade versions strengthen the suspension and magical drive so the machine can leave paved city routes.|65|Rapid ground travel, controlled jump|No|Compact, fast, requires no animal handling, easy storage compared with living mounts|Limited cargo space; poor in deep mud, snow and dense forest
Thresholdless Carriage|Thresholdless Carriage|Wealthy travelers, merchants, hunters|Uncommon|Thresholdless Hover Carriage|A Granulian artificer vehicle that replaces wheels and draft animals with a low levitation field. The concept grew from local transport engineering, with control principles refined through Axrian study of the extreme mechanical regularity associated with Apparatus.|55|Low hover, roadless travel, shallow-water crossing|No|Floats roughly 1–2 feet above the ground, requires no horse, crosses rough roads and small obstacles smoothly, carries several passengers|Expensive magical core; cannot truly fly; vulnerable if its levitation system fails
Armored Thresholdless Carriage|Armored Thresholdless Carriage|Hunter teams, military, expeditions|Uncommon|Armored Thresholdless Hover Carriage|A field-armored conversion of the Granulian Thresholdless Carriage for hunter teams, military patrols, and expeditions. Extra plating, storage, and shelter systems sacrifice speed but let the vehicle serve as a small mobile safe-point on dangerous roads.|45|Hover, roadless travel, rubble crossing|Limited|Protected passenger compartment, large storage capacity, does not require animals, can function as mobile shelter|Heavy, expensive, conspicuous, difficult to repair outside major settlements
Tinky|Tinky |Hekdor Kovalsky |Unique|Divine Stonehorn Pegarin|Rare divine Axrion beast associated with mountain shrines and earth-forge traditions; regarded as a sacred bloodline rather than a normal domestic breed.|60|Glide downward, hover briefly, rough terrain charge |Yes / Defensive|Massive carrying strength, high endurance, resistant to forced movement, divine presence, armored horn charge. His saliva can can heal minor injuries. |extremely strong, but too heavy for true upward flight. 
Irok|Irok |Erik Kolt|Rare|Ironroad Courser|Jazierchat hunter-road breed developed from armored courser lines for firearm-era monster hunters; valued for steadiness under gunfire rather than spectacle.|70|Strong ground travel, rough roads, stable firing stance |Limited / defensive |Cannot fly, extremely reliable, fearless under gunfire, saddle storage, armored hide, steady shooting platform, ignores fall damage|reliable and armored, but no flight and not flashy. 
Kravex|Kravex |Xénia Uroqal|Legendary|Razorwing Tiger-Pegas|An experimental Axrian chimera rather than a natural species. Its line was created through selective breeding and magical trait-binding, combining a great cat's predatory body and reflexes with pegasus flight and razor-feather adaptations. Kravex belongs to a rare, difficult-to-handle experimental bloodline.|80|Flight, leap, climb, dive attack |Yes |Very mobile, predatory reflexes, claw attacks, aerial pounce, fast repositioning, aggressive temperament |incredibly mobile, but impatient and hard to control. 
Auralis|Auralis |Anaria Argentum |Legendary|Tempest Kirin|Storm-born stock from Element, brought to Axria through one of the stable interplanetary crossings and acclimated by Tamers.|90|Runs through air, cloud-step, storm glide |Yes |Lightning resistance, weather sense, storm aura, can assist rain/wind magic, graceful and intelligent |powerful in storms, but less comfortable in dry dead-magic areas. 
Veyl|Veylourienne Prismaticia Mirrorgleam Indigo Peacock Feathered „Veyl“|Velimira Modrislava Malinova|Legendary|Prismtail Vulpagriff|Native to Lesy Života, whose overflowing magical ecosystems produce unusually vivid hybrid beasts; Axrian specimens are rare and highly prized.|70|Blink, glide, leap, difficult terrain bypass |Yes / evasive |Short-range teleport blink, glamour afterimages, illusion shimmer, excellent scouting, stylish distraction |can blink, but repeated blinking tires her and may misplace loose gear. 
Braksa|Braksa|Darina Kold|Legendary|Bloodwake Bristlecat|A rare Bristlecat altered through a blood-binding rite rather than a conventional breed. Braksa is magically tied to Darina through blood: it can recognize and follow her blood-scent above all others, reacts violently to her injuries, and becomes more dangerous when their shared bond is stirred. The bond is personal and is not meant to be transferred to another rider.|90|Sprint, leap, climb, shallow swim|Yes|Blood-scent tracking, rage burst, savage pounce, fear-resistant, becomes more dangerous when wounded|Hard to calm after blood is spilled; can escalate already unstable situations
Veyun|Veyun|Darius Kulukala |Epic|Stillwater Kirin|Rare Sostrov wetland kirin line adapted to shallow water, bridges, and quiet travel between the islands.|75|Sure-footed movement, light climbing, water-step, silent gait|Defensive / disciplined|Calming aura, fear resistance, exceptional balance, stabilizes rider’s breathing and focus, serene monk-like presence|Does not like reckless aggression; avoids needless violence
Murmura|Murmura|Ľubomíra Vrba|Very Rare|Echo-Mane Charmstag|Native to the forests between Juhiera and Lesohaj; prized by performers and Tamers for mimicry, emotional sensing, and calm temperament.|75|Fast ground travel, graceful leaps, short mist-step|Limited / support|Voice mimicry, emotional sensing, calming presence, illusion shimmer, can repeat overheard phrases|Sometimes repeats things it heard at the worst possible moment
Suture|Suture|Marcel Granulia|Unique|Mechanical Aegis Walker|Originally a Granulian mining vehicle built to carry heavy loads, stabilize dangerous excavation routes, and operate where ordinary draft animals were impractical. Marcel rebuilt a single chassis for long-distance travel, adding shielding, repair equipment, medical transport space, and road-defense systems. Suture is a unique personal conversion rather than a standard production vehicle.|55|Heavy terrain crossing, climbing anchors, stabilizer legs|Yes / protector|Fully mechanical, emergency medical rig, shield plates, tool storage, repair arms, wounded transport platform|Loud, heavy, maintenance-hungry, and impossible to hide
Index|Index|Leonard Arjek|Epic|Quillwing Archive-Griff|Juhieran scholar-bred griff line associated with the coastal cliffs and hunter archives; selected for memory, patience, and monster-sign recognition.|90|Silent flight, glide, perch, careful landing|Yes / tactical|Excellent memory, monster-scent recognition, night vision, detects old tracks, protects books and scrolls|Refuses chaotic riders and dislikes unnecessary risk
Aelaris|Aelaris|Caelthir Vaelorian|Epic|Moonwing Aelsteed|Lesohaj forest breed traditionally trained for silent travel among living tree defenses and moonlit woodland paths.|90|Flight, glide, hover, silent woodland ascent|Yes|Essence-buffering calm, elegant aerial maneuvering, high discipline, near-silent movement, resists panic and magical overload|Refuses to carry more then one rider.
Karruk|Karruk|Morga Dakrad|Very Rare|Stonehide Warboar|Granulian heavy boar line kept on the rocky industrial outskirts, where rail noise, workshop blasts, and broken ground make ordinary mounts skittish.|60|Charge, climb rocky slopes, smash through obstacles, river fording|Yes|Massive impact force, fearless, excellent against large enemies, thick hide, battle roar, can hold a line beside Morga|Likes to strat figh on his own, eats smaller creatures.
Vespera|Vespera|Lavri Oblag|Epic|Crownplume Mirrorsteed|Jazierchat noble-estate breed; mirrorsteeds descend from ceremonial cavalry lines selected for glamour, poise, and intimidating display.|85|Glide, high leap, rapid turn, elegant sprint|Yes / imposing|Glamour shimmer, dazzling display, intimidating beauty, attention-drawing presence, difficult to ignore or target cleanly|Refuses to be even touched by cretures with low Charisma. Is very selective of his food and stable conditions.
Orbit|Goliwheel Mk III “Orbit”|Majky Neon|Unique|Aetherwheel Mobility Chassis|Granulian Mk III gnomish mobility chassis built around local motion engineering, with design principles influenced by studies of Apparatus.|80|High-speed rolling, stabilizer mode, booster jump, suit-docking|Limited / support|Fully mechanical, docks to Mechanický Goliat, travel acceleration, impact stabilization, storage, emergency deployment platform|Speed without armor is higher but steering is harder. Has to recharge on short rest, ot is much slower.
Lumiel|Lumiel|Theresa Thlavinova|Legendary|Halo Seraph-Hind|Elysian celestial species; exceptionally rare in Axria and more often associated with divine or soul-linked planar events than ordinary trade.|90|Flight, hover, radiant glide, silent landing|Yes / support|Celestial aura, language resonance, radiant warding, heightened perception, calm mind-field, ideal for a scholar and interpreter|Has trouble to adjust to chaotic locations.
Noxveil|Noxveil|Mishel Regebe|Epic|Abyss-Touched Shadow Courser|Hades-touched Axrian courser line found near old planar scars and occult sites; considered corrupted Axrian stock rather than a true Hades-native riding breed.|70|Shadow-step, silent ground travel, short wall-climb, darkness glide|Yes / evasive|Moves almost soundlessly, resists necrotic and fire effects, can blur into smoke, senses fiendish presence, carries Mishel through dim light without disturbing it|Weak in direct holy/radiant zones; becomes harder to command when demonic energy is nearby
Vargast|Vargast|Arianna Arconia|Epic|Nightstalker Hound|Native to Tmavohmla and bred for its black fog, narrow lamp-lit streets, and hostile interior wilderness.|80|Sprint, alley-leap, wall-bounce, fog-running|Yes|Excellent urban pursuit mount, sees through fog and darkness, tracks blood and fear, silent pounce, terrifying to monsters that rely on ambush|Uncomfortable in open bright terrain; prefers stalking routes over direct travel
Puckthorn|Puckthorn|Laestarien Huf'paftin|Epic|Fey-Touched Trickhart|Native to Lesy Života; trickharts are among its highly magical forest fauna and are notorious for treating training as a game.|75|Forest sprint, high leap, branch-step, short illusion-step|Yes / trickster|Creates distracting fey afterimages, understands traps and games, can lure enemies into bad positions, nimble in forests, resistant to charm|Prankish and disobedient if bored; may “improve” simple plans with jokes
Stormfin|Stormfin|Purrtrick Lung|Epic|Thunder-Manta|Native to the wetland and reef ecosystems of Lesy Života; Axrian specimens are especially valued around Sostrov and Juhiera.|85|Air-swim, water-swim, glide, hover, smooth descent|Yes / protector|Can carry allies over terrain, lightning resistance, creates static shield-wake, excellent water rescue, calming to Purrtrick because it is almost fish-like|Poor in cramped indoor spaces; needs moisture or storm charge to perform at full strength
Silkstride|Silkstride|Nathaniel Arachnit|Very Rare|Archive Webstrider|Stromoraj canopy species domesticated for vertical travel, branch settlements, web-line hauling, and silent scouting.|65|Wall-climb, ceiling-crawl, silent stepping, web-line descent|Yes / tactical|Perfect stealth scout, can anchor silk lines, senses vibrations through stone and wood, carries tools and maps safely, excellent for rooftop observation|Fragile compared to war mounts; avoids loud open combat and fire-heavy environments
Brundra|Brundra|Dandaria Bohova|Epic|Ironmane War-Moose|Chladohrad war-mount line bred from cold-adapted northern fauna for snow, icy rivers, and heavy hunting loads.|60|Snow-run, rough terrain charge, shallow river crossing, cliff-step|Yes|Enormous carrying strength, cold resistance, rage-resonance with rider, brutal antler charge, can carry oversized weapons and heavy trophies|Not subtle; slow to turn once charging; becomes harder to redirect when Dandaria enters rage
Nul_Image|Nul|Tod – Tichoš|Epic|Muteveil Ash-Lynx|Tmavohmla predator adapted to black fog and near-constant twilight; valued by scouts for almost silent movement.|75|Silent sprint, wall-scramble, rooftop leap, shadow slip|Yes / stealth|Nearly soundless movement, muffles rider noise, sees in darkness, leaves faint or false tracks, perfect for ambush extraction|Avoids loud battlefield chaos; weak against bright reveal-magic and wide-area fire
Kintara|Kintara|Valanari Letkova|Epic|Guardstep Kirin|Granulian kirin line trained around crowded workshops, ropeways, and fast-moving machinery where precise balance matters more than brute speed.|80|Balance-run, wall-step burst, high leap, rapid sidestep|Yes / defensive|Kinetic redirection aura, exceptional balance, can intercept charges, reacts to rider’s body movement, protects limbs and flanks during close combat|Requires disciplined rider control; performs poorly with reckless or panicked commands
Deepbell|Deepbell|Miloš Ocelík|Very Rare|Gemhorn Ram|Skalodom tunnel-and-cliff breed used by miners to sense hollow stone and navigate layered fortifications and mountain paths.|75|Mountain climb, tunnel travel, narrow ledge walking, stone-step|Yes / support|Resonant horn call, morale-boosting rumble, remembers songs and routes, senses hollow stone and buried chambers, carries instruments and lore packs safely|Slow on flat long-distance routes; stubborn unless guided by rhythm, song, or familiar rider cues
Oculus|Oculus|Alexander Juhierny|Epic|Farsee Glasswing Drake|Juhieran coastal species nesting around cliffs and sea-cave approaches; scholars prize its exceptional long-range sight.|90|Flight, hover, perch, sharp dive, high-altitude scouting|Yes / tactical|Scry-linked vision, crystal eye crest, can relay battlefield angles to Alexander’s orb, excellent memory for observed fights, detects hidden movement patterns|Vulnerable to anti-divination effects; becomes disoriented if its crystal sight is blinded or overloaded
Grimhold|Grimhold|Antikus Grook|Rare|Shieldback Courser|Heavy guard-courser line from the Chladohrad border roads, bred for snow travel, exposed approaches, and disciplined defensive work.|90|Rough terrain run, shield-brace stance, snow travel, controlled charge|Yes|Extremely reliable, does not panic, can brace beside Antikus like a living shield wall, strong endurance, carries spear-and-shield gear well|Not flashy or especially fast; wins through patience and toughness, not special tricks
Ruinmaw|Ruinmaw|Bazalt|Legendary|Basaltback Ravager|Native to Ruiny Temnoty; one of the plane’s aggressive heavy predators and rarely tame enough to serve as a mount.|45|Rock climb, rubble crossing, brutal charge, short leap|Yes|Huge impact force, stone-like hide, excellent for monster impact, can carry a goliath comfortably, grows more aggressive when rider rages|Poor long-distance speed; difficult to stop once committed to a charge
